CMDLINE python leak_demo.py
MEM 1206.085938 1654973328.4595
MEM 1224.054688 1654973328.5599
MEM 1237.375000 1654973328.6607
MEM 1256.253906 1654973328.7618
MEM 1276.359375 1654973328.8621
MEM 1276.359375 1654973328.9625
MEM 1276.089844 1654973329.0631
MEM 1276.046875 1654973329.1635
MEM 1276.046875 1654973329.2640
MEM 1276.046875 1654973329.3645
MEM 1276.027344 1654973329.4744
MEM 1276.027344 1654973329.5751
MEM 1276.027344 1654973329.6766
MEM 1276.027344 1654973329.7773
MEM 1276.027344 1654973329.8780
MEM 1276.027344 1654973329.9784
MEM 1276.027344 1654973330.0788
MEM 1276.027344 1654973330.1792
MEM 1291.050781 1654973330.2795
MEM 1319.492188 1654973330.3798
MEM 1339.136719 1654973330.4802
MEM 1359.617188 1654973330.5805
MEM 1384.957031 1654973330.6808
MEM 1405.984375 1654973330.7810
MEM 1430.796875 1654973330.8814
MEM 1447.789062 1654973330.9816
MEM 1451.597656 1654973331.0819
MEM 1451.597656 1654973331.1822
MEM 1451.597656 1654973331.2825
MEM 1482.140625 1654973331.3828
MEM 1510.175781 1654973331.4831
MEM 1534.031250 1654973331.5834
MEM 1539.679688 1654973331.6839
MEM 1539.679688 1654973331.7844
MEM 1539.679688 1654973331.8849
MEM 1539.042969 1654973331.9854
MEM 1539.042969 1654973332.0858
MEM 1539.027344 1654973332.1866
MEM 1539.015625 1654973332.2870
MEM 1538.851562 1654973332.3875
MEM 1538.851562 1654973332.4879
MEM 1538.851562 1654973332.5883
MEM 1538.781250 1654973332.6888
MEM 1538.781250 1654973332.7893
MEM 1538.781250 1654973332.8896
MEM 1539.296875 1654973332.9901
MEM 1560.062500 1654973333.0905
MEM 1587.625000 1654973333.1908
MEM 1607.636719 1654973333.2911
MEM 1624.433594 1654973333.3917
MEM 1636.078125 1654973333.4921
MEM 1650.351562 1654973333.5928
MEM 1655.339844 1654973333.6936
MEM 1653.539062 1654973333.7999
MEM 1652.527344 1654973333.9160
MEM 1652.410156 1654973334.0372
MEM 1652.378906 1654973334.1519
MEM 1652.378906 1654973334.2669
MEM 1651.804688 1654973334.3750
MEM 1651.746094 1654973334.4885
MEM 1651.746094 1654973334.5924
MEM 1651.609375 1654973334.7004
MEM 1651.515625 1654973334.8210
MEM 1652.960938 1654973334.9338
MEM 1652.937500 1654973335.0424
MEM 1652.722656 1654973335.1617
MEM 1652.722656 1654973335.2716
MEM 1652.707031 1654973335.3875
MEM 1652.695312 1654973335.4960
MEM 1652.691406 1654973335.6069
MEM 1562.652344 1654973335.7075
MEM 1404.902344 1654973335.8085
MEM 1284.152344 1654973335.9097
MEM 1210.652344 1654973336.0108
MEM 1092.402344 1654973336.1114
MEM 890.402344 1654973336.2119
MEM 669.921875 1654973336.3124
MEM 256.750000 1654973336.4128
